Tempo em min:sec,Temperatura desejada do tanque,Temperatura atual do tanque,Nivel desejado do tanque,Nivel atual do Tanque
00:00.00,30.000000,20.000419,1.500000,1.990575
00:00.01,30.000000,20.000419,1.500000,1.990575
00:00.02,30.000000,20.000419,1.500000,1.990575
00:00.03,30.000000,20.000419,1.500000,1.990575
00:00.04,30.000000,20.000419,1.500000,1.990575
00:00.05,30.000000,20.000419,1.500000,1.990575
00:00.06,30.000000,20.000419,1.500000,1.990575
00:00.07,30.000000,20.004938,1.500000,1.989906
00:00.08,30.000000,20.004938,1.500000,1.989906
00:00.09,30.000000,20.004938,1.500000,1.989906
00:00.10,30.000000,20.004938,1.500000,1.989906
00:00.11,30.000000,20.004938,1.500000,1.989906
00:00.12,30.000000,20.004938,1.500000,1.989906
00:00.13,30.000000,20.004938,1.500000,1.989906
00:00.14,30.000000,20.004938,1.500000,1.989906
00:00.15,30.000000,20.004938,1.500000,1.989906
00:00.16,30.000000,20.004938,1.500000,1.989906
00:00.17,30.000000,20.013945,1.500000,1.989293
00:00.18,30.000000,20.013945,1.500000,1.989293
00:00.19,30.000000,20.013945,1.500000,1.989293
00:00.20,30.000000,20.013945,1.500000,1.989293
00:00.21,30.000000,20.013945,1.500000,1.989293
00:00.22,30.000000,20.013945,1.500000,1.989293
00:00.23,30.000000,20.013945,1.500000,1.989293
00:00.24,30.000000,20.013945,1.500000,1.989293
00:00.25,30.000000,20.013945,1.500000,1.989293
00:00.26,30.000000,20.013945,1.500000,1.989293
00:00.27,30.000000,20.022949,1.500000,1.988681
00:00.28,30.000000,20.022949,1.500000,1.988681
00:00.29,30.000000,20.022949,1.500000,1.988681
00:00.30,30.000000,20.022949,1.500000,1.988681
00:00.31,30.000000,20.022949,1.500000,1.988681
00:00.32,30.000000,20.022949,1.500000,1.988681
00:00.33,30.000000,20.022949,1.500000,1.988681
00:00.34,30.000000,20.022949,1.500000,1.988681
00:00.35,30.000000,20.022949,1.500000,1.988681
00:00.36,30.000000,20.022949,1.500000,1.988681
00:00.37,30.000000,20.031948,1.500000,1.988070
00:00.38,30.000000,20.031948,1.500000,1.988070
00:00.39,30.000000,20.031948,1.500000,1.988070
00:00.40,30.000000,20.031948,1.500000,1.988070
00:00.41,30.000000,20.031948,1.500000,1.988070
00:00.42,30.000000,20.031948,1.500000,1.988070
00:00.43,30.000000,20.031948,1.500000,1.988070
00:00.44,30.000000,20.031948,1.500000,1.988070
00:00.45,30.000000,20.031948,1.500000,1.988070
00:00.46,30.000000,20.031948,1.500000,1.988070
00:00.47,30.000000,20.040941,1.500000,1.987459
00:00.48,30.000000,20.040941,1.500000,1.987459
00:00.49,30.000000,20.040941,1.500000,1.987459
00:00.50,30.000000,20.040941,1.500000,1.987459
00:00.51,30.000000,20.040941,1.500000,1.987459
00:00.52,30.000000,20.040941,1.500000,1.987459
00:00.53,30.000000,20.040941,1.500000,1.987459
00:00.54,30.000000,20.040941,1.500000,1.987459
00:00.55,30.000000,20.040941,1.500000,1.987459
00:00.56,30.000000,20.040941,1.500000,1.987459
00:00.57,30.000000,20.049928,1.500000,1.986850
00:00.58,30.000000,20.049928,1.500000,1.986850
00:00.59,30.000000,20.049928,1.500000,1.986850
00:00.60,30.000000,20.049928,1.500000,1.986850
00:00.61,30.000000,20.049928,1.500000,1.986850
00:00.62,30.000000,20.049928,1.500000,1.986850
00:00.63,30.000000,20.049928,1.500000,1.986850
00:00.64,30.000000,20.049928,1.500000,1.986850
00:00.65,30.000000,20.049928,1.500000,1.986850
00:00.66,30.000000,20.049928,1.500000,1.986850
00:00.67,30.000000,20.058911,1.500000,1.986241
00:00.68,30.000000,20.058911,1.500000,1.986241
00:00.69,30.000000,20.058911,1.500000,1.986241
00:00.70,30.000000,20.058911,1.500000,1.986241
00:00.71,30.000000,20.058911,1.500000,1.986241
00:00.72,30.000000,20.058911,1.500000,1.986241
00:00.73,30.000000,20.058911,1.500000,1.986241
00:00.74,30.000000,20.058911,1.500000,1.986241
00:00.75,30.000000,20.058911,1.500000,1.986241
00:00.76,30.000000,20.058911,1.500000,1.986241
00:00.77,30.000000,20.067888,1.500000,1.985633
00:00.78,30.000000,20.067888,1.500000,1.985633
00:00.79,30.000000,20.067888,1.500000,1.985633
00:00.80,30.000000,20.067888,1.500000,1.985633
00:00.81,30.000000,20.067888,1.500000,1.985633
00:00.82,30.000000,20.067888,1.500000,1.985633
00:00.83,30.000000,20.067888,1.500000,1.985633
00:00.84,30.000000,20.067888,1.500000,1.985633
00:00.85,30.000000,20.067888,1.500000,1.985633
00:00.86,30.000000,20.067888,1.500000,1.985633
00:00.87,30.000000,20.076860,1.500000,1.985025
00:00.88,30.000000,20.076860,1.500000,1.985025
00:00.89,30.000000,20.076860,1.500000,1.985025
00:00.90,30.000000,20.076860,1.500000,1.985025
00:00.91,30.000000,20.076860,1.500000,1.985025
00:00.92,30.000000,20.076860,1.500000,1.985025
00:00.93,30.000000,20.076860,1.500000,1.985025
00:00.94,30.000000,20.076860,1.500000,1.985025
00:00.95,30.000000,20.076860,1.500000,1.985025
00:00.96,30.000000,20.085826,1.500000,1.984418
00:00.97,30.000000,20.085826,1.500000,1.984418
00:00.98,30.000000,20.085826,1.500000,1.984418
00:00.99,30.000000,20.085826,1.500000,1.984418
00:01.00,30.000000,20.085826,1.500000,1.984418
00:01.01,30.000000,20.085826,1.500000,1.984418
00:01.02,30.000000,20.085826,1.500000,1.984418
00:01.03,30.000000,20.085826,1.500000,1.984418
00:01.04,30.000000,20.085826,1.500000,1.984418
00:01.05,30.000000,20.085826,1.500000,1.984418
00:01.06,30.000000,20.085826,1.500000,1.984418
00:01.07,30.000000,20.094787,1.500000,1.983813
00:01.08,30.000000,20.094787,1.500000,1.983813
00:01.09,30.000000,20.094787,1.500000,1.983813
00:01.10,30.000000,20.094787,1.500000,1.983813
00:01.11,30.000000,20.094787,1.500000,1.983813
